[Point: 41916.0, 22979.0, Point: 42929.0, 22979.0, Point: 42929.0, 23992.0, Point: 41916.0, 23992.0]
[Point: 42929.0, 22979.0, Point: 43942.0, 22979.0, Point: 43942.0, 23992.0, Point: 42929.0, 23992.0]
[Point: 43942.0, 22979.0, Point: 44955.0, 22979.0, Point: 44955.0, 23992.0, Point: 43942.0, 23992.0]
[Point: 31786.0, 23992.0, Point: 32799.0, 23992.0, Point: 32799.0, 25005.0, Point: 31786.0, 25005.0]
[Point: 32799.0, 23992.0, Point: 33812.0, 23992.0, Point: 33812.0, 25005.0, Point: 32799.0, 25005.0]
[Point: 33812.0, 23992.0, Point: 34825.0, 23992.0, Point: 34825.0, 25005.0, Point: 33812.0, 25005.0]
[Point: 34825.0, 23992.0, Point: 35838.0, 23992.0, Point: 35838.0, 25005.0, Point: 34825.0, 25005.0]
[Point: 35838.0, 23992.0, Point: 36851.0, 23992.0, Point: 36851.0, 25005.0, Point: 35838.0, 25005.0]
[Point: 36851.0, 23992.0, Point: 37864.0, 23992.0, Point: 37864.0, 25005.0, Point: 36851.0, 25005.0]
[Point: 37864.0, 23992.0, Point: 38877.0, 23992.0, Point: 38877.0, 25005.0, Point: 37864.0, 25005.0]
[Point: 38877.0, 23992.0, Point: 39890.0, 23992.0, Point: 39890.0, 25005.0, Point: 38877.0, 25005.0]
[Point: 39890.0, 23992.0, Point: 40903.0, 23992.0, Point: 40903.0, 25005.0, Point: 39890.0, 25005.0]
[Point: 40903.0, 23992.0, Point: 41916.0, 23992.0, Point: 41916.0, 25005.0, Point: 40903.0, 25005.0]
[Point: 41916.0, 23992.0, Point: 42929.0, 23992.0, Point: 42929.0, 25005.0, Point: 41916.0, 25005.0]
[Point: 42929.0, 23992.0, Point: 43942.0, 23992.0, Point: 43942.0, 25005.0, Point: 42929.0, 25005.0]
[Point: 43942.0, 23992.0, Point: 44955.0, 23992.0, Point: 44955.0, 25005.0, Point: 43942.0, 25005.0]
[Point: 31786.0, 25005.0, Point: 32799.0, 25005.0, Point: 32799.0, 26018.0, Point: 31786.0, 26018.0]
[Point: 32799.0, 25005.0, Point: 33812.0, 25005.0, Point: 33812.0, 26018.0, Point: 32799.0, 26018.0]
[Point: 33812.0, 25005.0, Point: 34825.0, 25005.0, Point: 34825.0, 26018.0, Point: 33812.0, 26018.0]
[Point: 34825.0, 25005.0, Point: 35838.0, 25005.0, Point: 35838.0, 26018.0, Point: 34825.0, 26018.0]
[Point: 35838.0, 25005.0, Point: 36851.0, 25005.0, Point: 36851.0, 26018.0, Point: 35838.0, 26018.0]
[Point: 36851.0, 25005.0, Point: 37864.0, 25005.0, Point: 37864.0, 26018.0, Point: 36851.0, 26018.0]
[Point: 37864.0, 25005.0, Point: 38877.0, 25005.0, Point: 38877.0, 26018.0, Point: 37864.0, 26018.0]
[Point: 38877.0, 25005.0, Point: 39890.0, 25005.0, Point: 39890.0, 26018.0, Point: 38877.0, 26018.0]
[Point: 39890.0, 25005.0, Point: 40903.0, 25005.0, Point: 40903.0, 26018.0, Point: 39890.0, 26018.0]
[Point: 40903.0, 25005.0, Point: 41916.0, 25005.0, Point: 41916.0, 26018.0, Point: 40903.0, 26018.0]
[Point: 41916.0, 25005.0, Point: 42929.0, 25005.0, Point: 42929.0, 26018.0, Point: 41916.0, 26018.0]
[Point: 42929.0, 25005.0, Point: 43942.0, 25005.0, Point: 43942.0, 26018.0, Point: 42929.0, 26018.0]
[Point: 43942.0, 25005.0, Point: 44955.0, 25005.0, Point: 44955.0, 26018.0, Point: 43942.0, 26018.0]
[Point: 33812.0, 26018.0, Point: 34825.0, 26018.0, Point: 34825.0, 27031.0, Point: 33812.0, 27031.0]
[Point: 34825.0, 26018.0, Point: 35838.0, 26018.0, Point: 35838.0, 27031.0, Point: 34825.0, 27031.0]
[Point: 35838.0, 26018.0, Point: 36851.0, 26018.0, Point: 36851.0, 27031.0, Point: 35838.0, 27031.0]
